Known As,Full Name,Best Position,Nationality,Club Name
Xu Shilong,Shilong Xu,GK,China PR,Henan Songshan Longmen FC
J. Searle,Jamie Searle,GK,New Zealand,Barnsley
B. Brooks,Billy Brooks,CAM,Republic of Ireland,Lincoln City
H. McHugh,Harry McHugh,CAM,England,Wigan Athletic
T. Geris,Thomas Geris,ST,Austria,WSG Tirol
J. Scanlon,Jordan Scanlon,CAM,England,Rochdale
G. De Nitti,Gianni De Nitti,GK,Switzerland,FC Zürich
A. Skjold,Andreas Skjold,CAM,Norway,Strømsgodset IF
M. Al Mosabbah,Mohammed Al Mosabbah,CAM,Saudi Arabia,Al Khaleej
A. Nolan,Alex Nolan,CAM,Republic of Ireland,UCD AFC
Chen Yajun,Yajun Chen,CAM,China PR,Guangzhou City
Z. Sapsford,Zac Sapsford,ST,Australia,Western Sydney Wanderers
D. Hrezdac,Denis Hrezdac,RB,Romania,AFC UTA Arad
W. Lakin,Will Lakin,GK,England,Peterborough United
Hu Hetao,Hetao Hu,LWB,China PR,Chengdu Rongcheng F.C.
B. Roy,Bhaskar Roy,GK,India,Mumbai City FC
D. Kanu,Daniel Kanu,ST,England,Charlton Athletic
Wen Junjie,Junjie Wen,CB,China PR,Meizhou Hakka
T. Campbell,Tyreece Campbell,RM,England,Charlton Athletic
Woo Min Geol,Min Geol Woo,RB,Korea Republic,Jeju United FC
S. Pereira,Sanson Pereira,LB,India,FC Goa
L. D'Cunha,Leander D'Cunha,CB,India,FC Goa
H. Furayj,Hussain Furayj,CB,Saudi Arabia,Al Khaleej
N. Naorem,Nongdamba Naorem,RM,India,FC Goa
G. Cowmeadow,George Cowmeadow,ST,Wales,Swindon Town
J. Carter,Jack Carter,RWB,England,Forest Green Rovers
A. Badolato,Alex Badolato,ST,Australia,Western Sydney Wanderers
D. Norris,Danny Norris,LM,Republic of Ireland,UCD AFC
B. Schieber,Bennet Schieber,CB,Germany,SV Sandhausen
M. Delyfer,Max Delyfer,CDM,England,Watford
S. Asiri,Sulaiman Asiri,CAM,Saudi Arabia,Abha Club
W. Jenkins-Davies,Will Jenkins-Davies,CAM,Wales,Plymouth Argyle
S. Hall,Steven Hall,GK,Australia,Adelaide United
P. Kindberg,Pontus Kindberg,LB,Sweden,IFK Värnamo
J. Hopkins,Jackson Hopkins,CAM,United States,D.C. United
J. Sivi,Jeremy Sivi,RM,England,Middlesbrough
S. Lawton,Sean Lawton,LB,England,Crewe Alexandra
E. Wohlgemuth,Elija Wohlgemuth,GK,Germany,1. FC Kaiserslautern
K. Franklin,Kobe Franklin,RB,Canada,Toronto FC
Y. Fawaz,Yousef Fawaz,RW,Saudi Arabia,Al Batin
H. Al Sayyaf,Hamad Al Sayyaf,CB,Saudi Arabia,Ettifaq FC
Kim Min Gyu,Min Gyu Kim,CB,Korea Republic,Pohang Steelers
T. Singh,Tondonba Singh,LB,India,NorthEast United FC
J. Amissah,Jordan Amissah,GK,Germany,Sheffield United
H. Melland,Henrik Molvær Melland,CAM,Norway,Aalesunds FK
J. Warshawsky,Jack Warshawsky,GK,Australia,Western Sydney Wanderers
S. Spasov,Slavi Spasov,ST,Bulgaria,Oxford United
C. Hegardt,Chris Hegardt,RM,United States,Charlotte FC
N. Al Rashoudi,Nawaf Al Rashoudi,RM,Saudi Arabia,Al Taawoun
K. Ferdinand,Keesean Ferdinand,CB,Canada,Club de Foot Montréal
S. Mandal,Saurav Mandal,RM,India,Kerala Blasters FC
Lalchungnunga,Lalchungnunga Lalchungnunga,CB,India,SC East Bengal FC
J. Moore,Jack Moore,RB,England,Blackpool
T. Koch,Timm Koch,CB,Germany,Hallescher FC
M. Al Oufi,Mohammed Al Oufi,LB,Saudi Arabia,Al Adalah
Ci Henglong,Henglong Ci,GK,China PR,Changchun Yatai FC
A. Basit,Abdallah Basit,CM,Ghana,Benevento
M. Nasti,Marco Nasti,ST,Italy,Cosenza
Xu Haofeng,Haofeng Xu,CB,China PR,Shenzhen FC
Xu Lei,Lei Xu,CDM,China PR,Meizhou Hakka
M. Bortniczuk,Maciej Bortniczuk,CAM,Poland,Jagiellonia Białystok
Kang Jae Woo,Jae Woo Kang,CAM,Korea Republic,Seongnam FC
A. Mukherjee,Ankit Mukherjee,RB,India,SC East Bengal FC
Kim Hee Seung,Hee Seung Kim,CM,Korea Republic,Daegu FC
J. Castellano,Jesús Castellano,CAM,Venezuela,New York Red Bulls
I. Aalberg,Isak Hagen Aalberg,CB,Norway,Kristiansund BK
S. Sarbinowski,Szymon Sarbinowski,CAM,Poland,Warta Poznań
V. Loturi,Victor Loturi,CB,Canada,Ross County FC
Li Guanxi,Guanxi Li,GK,China PR,Shandong Taishan
M. Sanyor,Meshari Sanyor,GK,Saudi Arabia,Al Raed
C. Slicker,Cieran Slicker,GK,Scotland,Rochdale
J. Marquez,Javier Marquez,CB,Venezuela,Estudiantes de Mérida
G. Singh,Gursimrat Singh,CB,India,Mumbai City FC
H. Sohna,Harrison Sohna,RM,England,Sunderland
M. Byrne,Mark Byrne,CAM,Republic of Ireland,Sligo Rovers
Chen Guokang,Guokang Chen,RM,China PR,Meizhou Hakka
D. Dodds,Daniel Dodds,RB,England,Middlesbrough
A. Al Bishi,Azzam Al Bishi,ST,Saudi Arabia,Al Wehda
R. Duncan,Ryan Duncan,CAM,Scotland,Aberdeen
J. Blunkell,Josh Blunkell,GK,England,Wycombe Wanderers
F. Keidel,Felix Keidel,CM,Germany,FC Ingolstadt 04
N. De Ridder,Noah De Ridder,CAM,Belgium,KAA Gent
A. Al Shammari,Abdullah Nahar Al Shammari,CDM,Saudi Arabia,Al Tai
D. Las,Damian Las,GK,United States,Austin FC
A. Jipa,Alexandru Jipa,RM,Romania,AFC Chindia Târgoviște
A. Chilili,Alexandru Chilili,CB,Romania,FC Voluntari
S. Abramowicz,Sławomir Abramowicz,GK,Poland,Jagiellonia Białystok
R. Bozinovski,Rhys Bozinovski,CAM,Australia,Western United FC
A. Radif,Abdullah Radif,ST,Saudi Arabia,Al Taawoun
A. Andresen,Aske Andresen,GK,Denmark,Silkeborg IF
A. Armour,Adam Armour,LB,United States,Charlotte FC
J. Zoherliana,Joe Zoherliana,RB,India,NorthEast United FC
M. Dhot,Mohammed Sajid Dhot,CB,India,Chennaiyin FC
M. Al Dawsari,Mohammed Al Dawsari,GK,Saudi Arabia,Al Taawoun
S. Stanic-Floody,Stevan Stanic-Floody,LM,Australia,Drogheda United
Kim Chan Yong,Chan Yong Kim,GK,Korea Republic,Suwon FC
Zheng Xuejian,Xuejian Zheng,CM,China PR,Zhejiang Professional FC
Wang Dongsheng,Dongsheng Wang,LB,China PR,Zhejiang Professional FC
J. Niedbała,Jakub Niedbała,CM,Poland,Piast Gliwice
L. Ralte,Lalthuammawia Ralte,GK,India,Odisha FC
H. Gedő,Hunor Gedő,GK,Romania,Sepsi OSK Sf. Gheorghe
Bai Yang,Yang Bai,CB,China PR,Beijing Guoan FC
J. Rajczykowski,Jakub Rajczykowski,GK,Poland,Raków Częstochowa
Mao Kaiyu,Kaiyu Mao,CB,China PR,Changchun Yatai FC
K. Amin,Karan Amin,RB,India,Odisha FC
S. Anderson,Sebastian Anderson,RWB,United States,Colorado Rapids
A. Breuer,Andy Breuer,CAM,Germany,1. FC Saarbrücken
Kim Jeong hoon,Jeong Hoon Kim,GK,Korea Republic,Sangju Sangmu FC
J. Ackroyd,Joe Ackroyd,CDM,England,Barnsley
N. Al Saadi,Nawaf Al Saadi,CAM,Saudi Arabia,Abha Club
T. Cann,Ted Cann,GK,England,West Bromwich Albion
T. Jenkins,Tom Jenkins,CAM,England,Wrexham AFC
Ruan Qilong,Qilong Ruan,CB,China PR,Beijing Guoan FC
Liu Jiahui,Jiahui Liu,CB,China PR,Henan Songshan Longmen FC
S. Al Toiawy,Salem Al Toiawy,RM,Saudi Arabia,Al Tai
E. Al Biladi,Elyas Al Biladi,CB,Saudi Arabia,Al Adalah
M. Lutz,Marc Lutz,CB,Germany,SV Waldhof Mannheim 07
C. Brady,Chris Brady,GK,United States,Chicago Fire Football Club
C. McLaughlin,Caolan McLaughlin,CAM,Republic of Ireland,Derry City
J. Orozco,Jaziel Orozco,CB,United States,Real Salt Lake
F. Al Ghamdi,Faisal Al Ghamdi,CAM,Saudi Arabia,Ettifaq FC
G. O'Donkor,Gatlin O'Donkor,ST,England,Oxford United
J. Arthur,Jack Arthur,GK,England,Exeter City
B. Avila,Beto Avila,CAM,United States,Houston Dynamo
D. Ciezkowski,Dorian Ciezkowski,GK,Poland,US Cremonese
C. Albu,Cătălin Albu,RM,Romania,FC U Craiova 1948
O. Al Othman,Othman Al Othman,RW,Saudi Arabia,Al Fateh
H. Sofianu,Hristu Sofianu,CAM,Romania,FC U Craiova 1948
Ș. Tomache,Șerban Tomache,GK,Romania,FC Botoşani
B. Filip,Bogdan Filip,CM,Romania,FC Botoşani
M. Al Abdullah,Mohammed Al Abdullah,CAM,Saudi Arabia,Al Khaleej
I. Tolea,Ioan Tolea,CM,Romania,Petrolul Ploiești
S. Ghosh,Subha Ghosh,ST,India,Kerala Blasters FC
B. Faraas,Benjamin Faraas,CAM,Norway,Hamarkameratene
J. O'Shaughnessy,Joe O'Shaughnessy,GK,Republic of Ireland,Bradford City
E. Ochoa,Emmanuel Ochoa,GK,United States,San Jose Earthquakes
J. Beluli,Jashar Beluli,ST,Albania,AC Horsens
E. Dueñas,Erik Dueñas,RB,Mexico,Los Angeles FC
I. Lucatelli,Igor Lucatelli,GK,Italy,Benevento
Zhang Xiangshuo,Xiangshuo Zhang,CDM,China PR,Shijiazhuang Ever Bright F.C.
N. Tsakiris,Niko Tsakiris,CAM,United States,San Jose Earthquakes
D. Toure,David Toure,RM,Republic of Ireland,Shelbourne FC
Park Yong Hui,Yong Hui Park,RM,Korea Republic,Daegu FC
Zhang Hui,Hui Zhang,RM,China PR,Wuhan Three Towns
L. Hnamte,Lalrinliana Hnamte,RM,India,ATK Mohun Bagan FC
Guo Yi,Yi Guo,RM,China PR,Meizhou Hakka
Wu Fei,Fei Wu,GK,China PR,Wuhan Three Towns
A. Demir,Anıl Demir,GK,Turkey,Ümraniyespor
F. Al Garzae,Fares Al Garzae,ST,Saudi Arabia,Al Shabab
N. Bollado,Nic Bollado,ST,England,Carlisle United
Li Yijia,Yijia Li,GK,China PR,Zhejiang Professional FC
W. Muirang,Wungngayam Muirang,CB,India,Bengaluru FC
F. Chalupniczak,Filip Chalupniczak,GK,Poland,Sutton United
Li Jiaheng,Jiaheng Li,ST,China PR,Guangzhou FC
I. Vanlalruatfela,Isak Vanlalruatfela,CAM,India,Odisha FC
R. Kumar,Rohit Kumar,CB,India,Bengaluru FC
Zheng Shengxiong,Shengxiong Zheng,LM,China PR,Guangzhou FC
R. Shabong,Ricky Shabong,CDM,India,ATK Mohun Bagan FC
M. Al Hurayji,Mutlaq Al Hurayji,GK,Saudi Arabia,Al Raed
K. Kouassi,Kylian Kouassi,RM,England,Sutton United
A. Davis,Aaron Davis,GK,Republic of Ireland,Drogheda United
I. Donasiyano,Irakoze Donasiyano,CAM,Tanzania,Nashville SC
O. Al Mermish,Osama Al Mermish,GK,Saudi Arabia,Al Ittihad
Liang Guoqiao,Guoqiao Liang,RB,China PR,Hebei FC
R. Odada,Richard Odada,CB,Kenya,Philadelphia Union
S. Oregel,Sergio Oregel,RM,United States,Chicago Fire Football Club
C. Walls,Casey Walls,CB,United States,San Jose Earthquakes
S. Lynch,Scott Lynch,RB,Republic of Ireland,Sligo Rovers
Baek Jong Beom,Jong Beom Baek,GK,Korea Republic,FC Seoul
L. Kugland,Leon Kugland,LB,Germany,SV Meppen
J. Bramwell,Jamie Bramwell,CB,England,Grimsby Town
D. Bouah,Devid Eugene Bouah,RB,Italy,Urbs Reggina 1914
E. Corvi,Edoardo Corvi,GK,Italy,Parma
Ș. Mușat,Ștefan Mușat,GK,Romania,FC Farul Constanța
W. Blackmore,Will Blackmore,GK,England,Peterborough United
X. Parke,Xander Parke,GK,Saint Kitts and Nevis,Shrewsbury Town
A. Al Yousef,Abdulaziz Al Yousef,ST,Saudi Arabia,Al Adalah
A. Moreno,Andres Moreno,CB,Bolivia,Royal Pari
Lee Won Woo,Won Woo Lee,CB,Korea Republic,Daegu FC
Wang Peng,Peng Wang,CAM,China PR,Guangzhou City
L. Temple,Lewis Temple,CB,Republic of Ireland,Shelbourne FC
G. Hodgins,Gavin Hodgins,CAM,Republic of Ireland,Shelbourne FC
T. Campbell,Tate Campbell,LM,England,Birmingham City
L. Gill,Lennon Gill,ST,Republic of Ireland,UCD AFC
E. Taylor,Ellis Taylor,LM,England,Hartlepool United
D. Lipsiuc,Darius Lipsiuc,CAM,Republic of Ireland,St. Patrick's Athletic
G. Horbury,George Horbury,CAM,England,Harrogate Town
C. Donovan,Chris Donovan,ST,United States,Philadelphia Union
K. Okoniewski,Krystian Okoniewski,ST,Poland,Lechia Gdańsk
J. Greene,Jacob Greene,LB,United States,D.C. United
F. De Carvalho,Filipe De Carvalho,RM,Switzerland,Grasshopper Club Zürich
J. Sraha,Jason Sraha,LB,England,Barnsley
E. Ovendale,Evan Ovendale,GK,Wales,Newport County
R. Baker-Whiting,Reed Baker-Whiting,CAM,United States,Seattle Sounders FC
J. Niemczyk,Jakub Niemczyk,RM,Poland,Burton Albion
O. Lodziński,Oskar Lodziński,GK,Poland,Wisła Płock
L. Billington,Lewis Billington,CB,England,Crewe Alexandra
Cao Xiaoyi,Xiaoyi Cao,RB,China PR,Wuhan FC
J. Barlow,Josh Barlow,CAM,England,Shrewsbury Town
F. Junior Adjei,Frank Junior Adjei,RM,Ghana,IFK Värnamo
Feng Shuaihang,Shuaihang Feng,RM,China PR,Changchun Yatai FC
A. Burnett,Alfie Burnett,GK,England,Forest Green Rovers
K. Craig,Kade Craig,CB,England,Shrewsbury Town
Gou Junchen,Junchen Gou,CB,China PR,Chengdu Rongcheng F.C.
V. Arong,Victor Arong,ST,Nigeria,Drogheda United
S. Singh,Salam Ranjan Singh,CB,India,Chennaiyin FC
J. Haist,John Haist,ST,England,UCD AFC
A. Rühlemann,Arne Rühlemann,CAM,Germany,Hallescher FC
F. Eriksson,Felix Eriksson,CB,Sweden,IFK Göteborg
E. Cox,Ethan Cox,GK,Australia,Adelaide United
Yang Chenyu,Chenyu Yang,RWB,China PR,Hebei FC
Kim Tae Yang,Tae Yang Kim,ST,Korea Republic,Daegu FC
A. Librici,Andrea Librici,CAM,Belgium,Sint-Truidense VV
Kim Jae Sung,Jae Sung Kim,CAM,Korea Republic,Ulsan Hyundai FC
M. Singh,Manvir Singh,ST,India,NorthEast United FC
M. Al Qahtani,Mohammed Al Qahtani,LM,Saudi Arabia,Al Hilal
P. Abimbola,Peter Abimbola,CAM,England,Northampton Town
E. Bolton,Elliott Bolton,RM,England,AFC Wimbledon
H. Richardson,Heath Richardson,GK,England,Bradford City
H. McCarthy,Harry McCarthy,LM,Australia,Central Coast Mariners
A. Jones,Avan Jones,RWB,England,Luton Town
K. Thuntsane,Kopano Thuntsane,GK,South Africa,Orlando Pirates
Cui Lin,Lin Cui,RB,China PR,Hebei FC
Song Yue,Yue Song,CB,China PR,Tianjin Jinmen Tiger FC
Zhao Jianbo,Jianbo Zhao,ST,China PR,Dalian Professional Football Club
A. D'Silva,Aaren D'Silva,ST,India,Hyderabad FC
F. Al Mutairi,Faisal Al Mutairi,CAM,Saudi Arabia,Al Taawoun
Zhang Yu,Yu Zhang,CB,China PR,Hebei FC
Wang Huapeng,Huapeng Wang,RWB,China PR,Changchun Yatai FC
Z. Al Jari,Ziyad Al Jari,CB,Saudi Arabia,Al Fateh
T. Stokes,Tom Stokes,ST,Wales,Newport County
B. Kelly,Brad Kelly,GK,England,Rochdale
Zhang Jiansheng,Jiansheng Zhang,ST,China PR,Dalian Professional Football Club
A. Chhetri,Ayush Dev Chhetri,RB,India,FC Goa
M. Memet-Ali,Memet-Raim Memet-Ali,ST,China PR,Changchun Yatai FC
B. Redžić,Beni Redžić,ST,United States,FC Dallas
A. Porter,Adam Porter,CM,England,Salford City
K. Barslund,Kaare Barslund,CB,Denmark,FC Nordsjælland
N. Blair,Nathaneal Blair,ST,Australia,Western Sydney Wanderers
K. Evans,Kai Evans,CAM,Wales,Wrexham AFC
A. Braithwaite,Aaron Braithwaite,CAM,England,Grimsby Town
A. Kumar,Anuj Kumar,GK,India,Hyderabad FC
F. Cibi,Fabiano Cibi,CB,Romania,AFC UTA Arad
Seol Hyeon Bin,Hyeon Bin Seol,GK,Korea Republic,Ulsan Hyundai FC
Yoon Suk Ju,Suk Ju Yoon,CDM,Korea Republic,Sangju Sangmu FC
T. Storm,Tobias Storm,CAM,Denmark,Lyngby BK
A. Deu,Ajak Deu,CB,South Sudan,Western United FC
S. Al Muwallad,Saad Al Muwallad,ST,Saudi Arabia,Al Shabab
F. Bell,Finley Bell,CAM,England,Forest Green Rovers
J. Nieuwenhuizen,James Nieuwenhuizen,GK,Australia,Melbourne City FC
L. Oresti,Luke Oresti,CAM,Australia,Melbourne City FC
J. Casas Jr.,Javier Casas Jr.,CAM,United States,Chicago Fire Football Club
Chen Xiangyu,Xiangyu Chen,ST,China PR,Shenzhen FC
H. O'Brien,Harvey O'Brien,CB,Republic of Ireland,UCD AFC
E. Helgeland,Eivind Helgeland,CAM,Norway,FK Haugesund
A. Abaz,Armin Abaz,GK,Switzerland,FC Winterthur
Chen Yuhao,Yuhao Chen,RB,China PR,Wuhan FC
O. Halls,Oscar Halls,CB,England,Plymouth Argyle
V. Solheim,Vegard Solheim,CAM,Norway,FK Haugesund
F. Butscher,Florian Butscher,CAM,Germany,SV Waldhof Mannheim 07
Wang Haoran,Haoran Wang,CAM,China PR,Henan Songshan Longmen FC
A. Zagré,Abdel Zagré,ST,Burkina Faso,FC Sion
I. Price,Isaac Price,CAM,Northern Ireland,Everton
Li Junfeng,Junfeng Li,RB,China PR,Meizhou Hakka
B. Raines,Brooklyn Raines,CAM,United States,Houston Dynamo
Cai Haochang,Haochang Cai,CDM,China PR,Meizhou Hakka
T. Kristiansen,Thorbjørn Kristiansen,CB,Norway,Hamarkameratene
J. Hannah,Jack Hannah,CB,England,Middlesbrough
G. Singh,Gurkirat Singh,ST,India,Mumbai City FC
Lee Hak Yun,Hak Yun Lee,GK,Korea Republic,Daegu FC
W. Wilson,Will Wilson,ST,Kenya,Melbourne Victory
E. Kurban,Eysajan Kurban,ST,China PR,Zhejiang Professional FC
K. O'Toole,Kevin O'Toole,ST,United States,New York City FC
E. Haddock,Evan Haddock,CB,Republic of Ireland,Drogheda United
He Tongshuai,Tongshuai He,CM,China PR,Wuhan Three Towns
Park Geon Woo,Geon Woo Park,RB,Korea Republic,Pohang Steelers
S. Tayir,Shewketjan Tayir,CB,China PR,Wuhan Three Towns
A. Paul,Avilash Paul,GK,India,ATK Mohun Bagan FC
Huo Shenping,Shenping Huo,GK,China PR,Guangzhou FC
S. Suresh,Sachin Suresh,GK,India,Kerala Blasters FC
Wang Wenxuan,Wenxuan Wang,CB,China PR,Guangzhou FC
B. Varghese,Bijoy Varghese,CB,India,Kerala Blasters FC
Wei Minghe,Minghe Wei,CB,China PR,Guangzhou FC
E. Alagich,Ethan Alagich,CAM,Australia,Adelaide United
S. Joshy,Soyal Joshy,RB,India,Hyderabad FC
E. Ahui,Elicha Ahui,CDM,England,Lincoln City
S. Saftig,Sebastian Saftig,CB,Germany,SV Elversberg
S. Mitra,Samik Mitra,GK,India,Chennaiyin FC
Mai Gaolin,Gaoling Mai,GK,China PR,Meizhou Hakka
M. Rodríguez,Missael Rodríguez,ST,United States,Chicago Fire Football Club
B. Al Shahrani,Bandar Al Shahrani,GK,Saudi Arabia,Damac FC
S. Ghidotti,Simone Ghidotti,GK,Italy,Como
A. Freeman,Alexander Freeman,RB,United States,Orlando City Soccer Club
A. Rabeeh,Abdul Rabeeh,RM,India,Hyderabad FC
R. Mahon,Robbie Mahon,ST,Republic of Ireland,Motherwell
Xu Yue,Yue Xu,CM,China PR,Shenzhen FC
M. Al Biladi,Mohammed Al Biladi,GK,Saudi Arabia,Al Adalah
C. Porter,Caoimhin Porter,RB,Republic of Ireland,Derry City
E. Caspers,Edward Caspers,CAM,Australia,Macarthur FC
M. Caputo,Max Caputo,ST,Australia,Melbourne City FC
K. O'Connor,Kyle O'Connor,CAM,Republic of Ireland,Shelbourne FC
A. Makin,Abdulaziz Makin,RM,Saudi Arabia,Damac FC
L. Rudden,Luke Rudden,ST,Republic of Ireland,Finn Harps
Huang Cong,Cong Huang,CDM,China PR,Shandong Taishan
V. Serdeniuk,Viktor Serdeniuk,RM,Ukraine,Shamrock Rovers
Sun Hongwei,Hongwei Sun,CB,China PR,Hebei FC
Meng Junjie,Junjie Meng,ST,China PR,Chengdu Rongcheng F.C.
Ran Weifeng,Weifeng Ran,GK,China PR,Chengdu Rongcheng F.C.
Wang Hanlin,Hanlin Wang,CDM,China PR,Chengdu Rongcheng F.C.
H. Wiles-Richards,Harvey Wiles-Richards,GK,England,Bristol City
A. Al Enazi,Abdullah Al Enazi,RM,Saudi Arabia,Al Fateh
Fu Yuncheng,Yuncheng Fu,CB,China PR,Guangzhou City
S. Al Najdi,Salem Al Najdi,CB,Saudi Arabia,Al Fateh
J. Williams,Jack Williams,RM,England,Tranmere Rovers
M. Boudiaf,Mohammed Boudiaf,RB,Republic of Ireland,Drogheda United
Sun Jianxiang,Jianxiang Sun,GK,China PR,Shijiazhuang Ever Bright F.C.
K. Ablet,Kudirat Ablet,GK,China PR,Dalian Professional Football Club
M. Hurais,Meshal Hurais,GK,Saudi Arabia,Al Batin
A. Lomax,Arthur Lomax,ST,England,Tranmere Rovers
Pang Jiajun,Jiajun Pang,GK,China PR,Hebei FC
C. Rooney,Cameron Rooney,CAM,England,Morecambe
N. Kumar,Niraj Kumar,GK,India,Odisha FC
A. Shaikh,Arsh Shaikh,GK,India,ATK Mohun Bagan FC
A. Murphy,Adam Murphy,RM,Republic of Ireland,St. Patrick's Athletic
R. Covaci,Răzvan Covaci,RM,Romania,Campionii FC Arges
F. Valencia,Felipe Valencia,ST,United States,Inter Miami CF
M. Moraru,Matei Moraru,CAM,Romania,Universitatea Cluj
B. Collins,Ben Collins,CB,Australia,Western United FC
Wang Zhen'ao,Zhen'ao Wang,RW,China PR,Dalian Professional Football Club
P. Singh,Pritam Singh,LB,India,SC East Bengal FC
G. Arubi,Gbemi Arubi,ST,Republic of Ireland,Shelbourne FC
Ji Jiabao,Jiabao Ji,GK,China PR,Shenzhen FC
D. Robson,David Robson,GK,Wales,Crawley Town
I. Zamfir,Iulian Zamfir,CAM,Romania,AFC Chindia Târgoviște
A. Gope,Amrit Gope,GK,India,Bengaluru FC
J. Ellis,Jack Ellis,CB,England,Carlisle United
G. Mulreany,Gavin Mulreany,GK,Republic of Ireland,Finn Harps
Wen Da,Da Wen,ST,China PR,Wuhan FC
L. Augustine,Leon Augustine,RM,India,Bengaluru FC
A. Arda,Alp Arda,GK,Turkey,İstanbulspor
S. Tinubu,Sam Tinubu,CDM,England,Stevenage
R. Carr,Ryan Carr,CAM,England,Carlisle United
M. Scott,Matthew Scott,CAM,Republic of Ireland,UCD AFC
A. Petre,Alexandru Petre,CDM,Romania,AFC Chindia Târgoviște
Hou Yu,Yu Hou,CDM,China PR,Guangzhou FC
O. Leśniak,Oskar Leśniak,CAM,Poland,Piast Gliwice
Ma Kunyue,Kunyue Ma,GK,China PR,Beijing Guoan FC
D. Yapi,Darren Yapi,ST,United States,Colorado Rapids
Du Yuezheng,Yuezheng Du,ST,China PR,Shenzhen FC
G. Singh,Givson Singh,CAM,India,Kerala Blasters FC
Liao Lei,Lei Liao,LB,China PR,Shenzhen FC
Chen Xuhuang,Xuhuang Chen,CDM,China PR,Shanghai Port FC
O. Cisneros,Osvaldo Cisneros,CAM,United States,Sporting Kansas City
Hua Mingcan,Mingcan Hua,RM,China PR,Henan Songshan Longmen FC
Sun Xuelong,Xuelong Sun,RM,China PR,Tianjin Jinmen Tiger FC
S. Abdusalam,Sabit Abdusalam,ST,China PR,Shijiazhuang Ever Bright F.C.
D. Molloy,Dylan Molloy,CB,Republic of Ireland,Drogheda United
Li Da,Da Li,CB,China PR,Wuhan FC
H. Nicolson,Harry Nicolson,CB,Scotland,Finn Harps
R. Al Muwainea,Rashed Al Muwainea,GK,Saudi Arabia,Al Fayha
E. Topcu,Emre Topcu,CAM,Republic of Ireland,Drogheda United
Zhang Huajun,Huajun Zhang,ST,China PR,Wuhan FC
D. Fernandes,Danstan Fernandes,CAM,India,FC Goa
Su Yuliang,Yuliang Su,RM,China PR,Guangzhou City
Zhang Xingliang,Xingliang Zhang,RM,China PR,Tianjin Jinmen Tiger FC
D. Mirdha,Dipu Mirdha,ST,India,NorthEast United FC
J. Lemoignan,Jack Lemoignan,GK,Northern Ireland,Derry City
Huo Liang,Liang Huo,RB,China PR,Meizhou Hakka
A. McCaffrey,Adam McCaffrey,CM,Republic of Ireland,Finn Harps
J. Davis,Jake Davis,RM,United States,Sporting Kansas City
T. Leitis,Toms Leitis,GK,Republic of Ireland,Shamrock Rovers
S. O'Brien,Sam O'Brien,CB,Republic of Ireland,Drogheda United
A. Taleb,Ahmad Taleb,GK,Australia,Melbourne Victory
Yang Yixuan,Yixuan Yang,CAM,China PR,Hebei FC
Hu Jing,Jing Hu,CB,China PR,Chengdu Rongcheng F.C.
O. McLaughlin,Orrin McLaughlin,CAM,Northern Ireland,Derry City
N. Prabhu,Nikhil Prabhu,CB,India,Odisha FC
Wen Yongjun,Yongjun Wen,CAM,China PR,Guangzhou City
P. Maguire,Peter Maguire,CB,Republic of Ireland,Sligo Rovers
Chen Yanpu,Yanpu Chen,RM,China PR,Beijing Guoan FC
K. Cruise,Kieran Cruise,LB,Republic of Ireland,Shamrock Rovers
D. Lyngdoh,Damaitphang Lyngdoh,CAM,India,Bengaluru FC
J. Ferizaj,Justin Ferizaj,CAM,Republic of Ireland,Shamrock Rovers
S. Padattil,Sharon Padattil,GK,India,Bengaluru FC
Wang Zhenghao,Zhenghao Wang,CB,China PR,Tianjin Jinmen Tiger FC
S. Jones-Carey,Sean Jones-Carey,RWB,Republic of Ireland,Shamrock Rovers
Ren Kangkang,Kangkang Ren,RM,China PR,Wuhan FC
O. Awadh,Othman Awadh,CB,Saudi Arabia,Al Batin
Zhang Chao'ao,Chao'ao Zhang,CB,China PR,Zhejiang Professional FC
Wan Likai,Likai Wan,LB,China PR,Guangzhou FC
Li Yalun,Yalun Li,ST,China PR,Zhejiang Professional FC
Liu Haofan,Haofan Liu,CB,China PR,Zhejiang Professional FC
T. Maddad,Tariq Maddad,RW,Saudi Arabia,Al Batin
H. Tiwari,Hrithik Tiwari,GK,India,FC Goa
Liu Runnan,Runnan Liu,CB,China PR,Hebei FC
Liao Jiajun,Jiajun Liao,RB,China PR,Guangzhou City
Feng Zeyuan,Zeyuan Feng,ST,China PR,Dalian Professional Football Club
Zhao Wenzhe,Wenzhe Zhao,CB,China PR,Guangzhou FC
N. Bhutia,Namgyal Bhutia,RM,India,Bengaluru FC
Ning Hao,Hao Ning,CAM,China PR,Dalian Professional Football Club
Song Xintao,Xintao Song,RM,China PR,Hebei FC
D. Duffy,Damian Duffy,LB,Republic of Ireland,Finn Harps
Deng Xiongtao,Xiongtao Deng,GK,China PR,Meizhou Hakka
Wei Feng,Feng Wei,ST,China PR,Guangzhou City
Li Yongjia,Yongjia Li,CDM,China PR,Guangzhou City
Zhao Yuezheng,Yuezheng Zhao,CDM,China PR,Zhejiang Professional FC
